"","plot_id","lai_lazR","lai_leafR"
"1","A6-12",0.3156578540802,0.523120860623028
"2","A6-11",0.480737537145615,0.93587786514946
"3","A6-10",NA,NA
"4","A6-9",NA,0.728580471058333
"5","A6-7",0.656305074691772,0.618449334556578
"6","A6-6",1.56404364109039,0.509835034284293
"7","A6-8",NA,NA
"8","A6-5",1.33436906337738,0.858131817700623
"9","B6-1",1.6489589214325,0.93125642132929
"10","A6-4",0.606967091560364,0.736427688918408
"11","A6-2",1.25935184955597,0.689936904929697
"12","A6-1",2.43707203865051,0.837305124774753
"13","A6-3",1.42925977706909,1.10010193589725
"14","A5-15",0.393480747938156,0.639796152446875
"15","A5-16",1.32333135604858,0.548734287747889
"16","A5-14",1.0489604473114,0.688628420046619
"17","A5-17",NA,0.821357839378587
"18","B5-11",1.44737768173218,1.40632665988249
"19","B5-8",0.753655016422272,0.918508251178179
"20","B5-10",NA,0.774043362312522
"21","A5-11",1.45555412769318,0.663449765015922
"22","A5-12",0.894117176532745,0.736786778667961
"23","B5-12",1.25501012802124,0.955041336110214
"24","B5-7",0.720341563224792,NA
"25","A5-13",NA,1.00456760201663
"26","B5-13",0.984983325004578,0.990757630209061
"27","A5-9",NA,0.804794512916135
"28","A5-10",0.684104800224304,0.723859767247476
"29","A5-6",NA,NA
"30","A5-7",NA,NA
"31","B5-6",1.16895127296448,0.588505572194043
"32","A5-8",1.77245008945465,1.04132709194368
"33","B5-5",1.05234277248383,0.615167536430047
"34","A5-3",NA,NA
"35","A5-4",0.900823712348938,NA
"36","B5-4",0.84960675239563,NA
"37","A5-5",0,NA
"38","B5-3",1.23384594917297,0.867803013066716
"39","A5-1",0.696394622325897,0.565313809050061
"40","A5-2",NA,0.633136405388822
"41","B5-1",1.42192316055298,0.758572203463394
"42","B5-2",NA,NA
"43","A4-15",NA,NA
"44","A4-16",1.28354847431183,NA
"45","B4-8",0.583797872066498,0.579953530024601
"46","A4-14",0.1719781011343,NA
"47","B4-4",NA,0.590033676520861
"48","A4-12",NA,0.890670745179078
"49","A4-13",1.05604887008667,0.643336466132618
"50","B4-7",NA,NA
"51","B4-5",0.821027994155884,0.775056277313442
"52","A4-11",0.778002798557281,0.675642153887548
"53","B4-6",1.14629554748535,0.706851546592058
"54","A4-10",1.30260610580444,0.826925904073234
"55","A4-9",0.809253573417664,0.635650365421175
"56","A4-6",NA,0.667457694444635
"57","A4-8",1.29880034923553,0.815092946919941
"58","A4-7",0.906766951084137,0.79682149276676
"59","A4-5",0.99546867609024,0.786208182775399
"60","A4-4",1.45168423652649,0.7339691750802
"61","B4-3",0.724473893642426,0.629290597392448
"62","A4-2",2.02661037445068,NA
"63","A4-3",1.20933878421783,0.636107355513495
"64","B4-2",1.11976373195648,0.703290190525
"65","A4-1",1.53616142272949,NA
"66","B4-1",1.48554921150208,NA
"67","A3-6",NA,0.604724370731909
"68","B3-10",1.29719078540802,0.788827970949445
"69","A3-7",NA,0.930029450707474
"70","B3-9",1.77845025062561,0.669422498965443
"71","A3-5",0.465083569288254,NA
"72","A3-8",1.33754074573517,0.578441400704355
"73","A3-10",0.557142436504364,0.318777198693731
"74","A3-4",NA,0.688808778961346
"75","B3-8",1.28807699680328,0.816786748329042
"76","A3-9",0.850533664226532,0.669496646265546
"77","B3-7",1.738077044487,0.852312023743405
"78","B3-6",NA,NA
"79","B3-4",2.35279059410095,0.717657078002722
"80","B3-5",0.981113314628601,0.858094769417846
"81","B3-2",2.09033036231995,0.70741556530768
"82","A3-3",0.769587934017181,0.733522723504195
"83","B3-1",1.24000239372253,0.56202986699359
"84","B3-3",0.578662276268005,0.809743272456799
"85","A3-1",1.17797470092773,0.596649352159965
"86","A2-11",1.207603931427,0.760611803026976
"87","A2-10",0.508286237716675,0.49081964538346
"88","A2-9",0.203243523836136,0.684720164398065
"89","A2-8",2.1749575138092,0.369953355244665
"90","A2-7",1.01543366909027,0.9174428057343
"91","A2-4",1.44386053085327,0.504980761217885
"92","A2-6",0.997987627983093,0.836144499173351
"93","A2-3",NA,NA
"94","A2-2",NA,0.924347449992608
"95","A2-1",1.41456174850464,0.656260190752884
"96","A1-6",0.326298356056213,0.501220821446256
"97","A1-4",0.260051965713501,0.80896750704848
"98","A1-5",NA,NA
"99","A1-3",0.285041123628616,0.795426029680364
"100","A1-2",0.83635801076889,0.722945675995351
"101","A1-1",0.190471917390823,0.668959954945941
